% Object Names and Observation Date
Popular Object Name: RULup
Simbad Object Name(s): 2MASS J15564230-3749154|CD-37 10602|Gaia DR1 6010114553824198784|Gaia DR2 6010114558131195392|Gaia DR3 6010114558131195392|HBC 251|HD 142560|HIP 78094|IRAS 15534-3740|IRAS f15533-3740|Sz 83|THA 15-13|TYC 7838-00546-1|V* RU LUP|WISE a j155642.30-374915.7|Wray 15-1386
Observation Date: 2022-07-12 07:12:29.874116+00:00
Julian Observation Date: 2459772.800335648

% Reference and Citation
Principal Investigator for Primary Spectrum: A Banzatti
Reference for Primary Spectrum: Banzatti et al 2022
Spectrograph: ISHELL
Reference for Spectroscopic Line Data: Hitran2016 molecular spectroscopic database (Gordon et al. 2017) at hitran.org
Data Prepared and Organized by: A Banzatti, C Wheeler, SpExoDisks (4-2025)
SpExoDisks Backend written by: Dr Caleb Wheeler (chw3k5@gmail.com), Underground Instruments

% Online Database
Downloadable: True

% Spectrum Context
Spectral Flux: Calibrated (Jansky)
Spectral Wavelength/Velocity Reference Frame: HELIO
Wavelength Units: um=10^-6 meters
Wavelength Range: (4.516609936576374 um, 5.2322119643595695 um)

% Flux Calibration
# The Primary Spectrum is Flux Calibrated using the following
flux_cal,flux_cal_error,wavelength_um,ref
1.7,0.11,4.6,allWISE

% Spectroscopic Line Data
wavelength_um,molecule,isotopologue,transition,upper_level,lower_level,frequency_GHz,einstein_A,upper_level_energy,lower_level_energy,g_statistical_weight_upper_level,g_statistical_weight_lower_level
4.5167988627473745,OH,16OH,(X 3/2 1) PP 25.5 ee->X omega V (X 3/2 2),X omega V (X 3/2 2),(X 3/2 1) PP 25.5 ee,66372.77131655341,23.62,23904.320245154355,20718.947807608507,100.0,104.0
4.516812046217039,OH,16OH,(X 1/2 6) QQ 21.5 fe->X omega V (X 1/2 7),X omega V (X 1/2 7),(X 1/2 6) QQ 21.5 fe,66372.57759066705,0.01343,40332.49322019037,37147.13007996761,88.0,88.0
4.517023210515984,H2O,H218O,v1 v2 v3 J Ka Kc (0 1 0 6 6 0)->(0 0 0 5 3 3),v=(0 1 0) J=6 Ka=6 Kc=0,v=(0 0 0) J=5 Ka=3 Kc=3,66369.474768706,0.0001006,3905.456353147174,720.2421240419862,13.0,11.0
4.5172868962408,OH,16OH,(X 3/2 7) QP 17.5 ff->X omega V (X 1/2 8),X omega V (X 1/2 8),(X 3/2 7) QP 17.5 ff,66365.60061072976,0.0001085,39969.7744225064,36784.74612259765,68.0,72.0
4.517921367449019,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 12 3 9)->(0 0 0 11 2 10),v=(0 1 0) J=12 Ka=3 Kc=9,v=(0 0 0) J=11 Ka=2 Kc=10,66356.28060283697,0.08672,5378.897453407655,2194.316440777566,25.0,23.0
4.517968659611331,OH,16OH,(X 3/2 8) QQ 5.5 ef->X omega V (X 3/2 9),X omega V (X 3/2 9),(X 3/2 8) QQ 5.5 ef,66355.58601369102,0.8397,38196.33428622312,35011.786608424125,24.0,24.0
4.518556711100323,OH,16OH,(X 3/2 0) SR 41.5 ee->X omega V (X 1/2 0),X omega V (X 1/2 0),(X 3/2 0) SR 41.5 ee,66346.95040200058,0.0004124,41833.32398534662,38649.19074917654,172.0,168.0
4.518689785128903,H2O,H216O,v1 v2 v3 J Ka Kc (0 1 0 12 4 9)->(0 0 0 12 1 12),v=(0 1 0) J=12 Ka=4 Kc=9,v=(0 0 0) J=12 Ka=1 Kc=12,66344.99650465559,4.389e-05,5425.421049493903,2241.381585071258,81.0,75.0
4.519032379364092,H2O,H218O,v1 v2 v3 J Ka Kc (0 1 0 6 5 2)->(0 0 0 5 0 5),v=(0 1 0) J=6 Ka=5 Kc=2,v=(0 0 0) J=5 Ka=0 Kc=5,66339.96679664997,1.541e-05,3650.0263143326506,466.22823644445623,39.0,33.0
4.519051091802813,OH,16OH,(X 1/2 1) PP 24.5 ee->X omega V (X 1/2 2),X omega V (X 1/2 2),(X 1/2 1) PP 24.5 ee,66339.6920968207,23.59,23957.17513265902,20773.39023820806,96.0,100.0
